,artists
248,['Fréhel']
249,['White Flag']
250,"['Billie Holiday', 'Teddy Wilson']"
251,"['Johann Sebastian Bach', 'Thomanerchor Leipzig', 'Helmut Walcha', 'Karl Straube']"
252,"['Georges Lauweryns', 'Yvonne Brothier', 'Orchestre Georges Lauweryns']"
253,['Otto Reutter']
254,"['Ella Logan', 'The SPIRIT']"
255,['Slowburner']
256,['Benny Goodman']
257,['Blind Willie Johnson']
258,"['Benny Goodman', 'Peggy Lee']"
259,['Leroy Carr']
260,"['Frédéric Chopin', 'Arthur Rubinstein']"
261,"['Benny Goodman Sextet', 'Benny Goodman', 'Charlie Christian']"
262,"['Jimmy McPartland', 'Gil Rodin', 'Larry Binyon', 'Vic Briedis', 'Dick Morgan', 'Jack Teagarden', 'Ray Bauduc', 'Harry Goodman', 'Benny Goodman', ""Jimmy Bracken's Toe Ticklers""]"
263,['Bascom Lamar Lunsford']
264,"['Frédéric Chopin', 'Vladimir Horowitz']"
265,"['Benny Goodman Sextet', 'Charlie Christian']"
266,['Benny Goodman Quartet']
267,['Benny Goodman Trio']
268,['Benny Goodman Sextet']
269,['Ted Lewis']
270,['William Warfield']
271,"['Benny Goodman', 'Helen Ward']"
272,['Benny Goodman Big Band']
273,['Jim Jackson']
274,"['Anita Darian', 'Louise Parker', 'The Merrill Staton Choir']"
275,"['Barbara Cook', 'John Raitt']"
276,['Tess Gardella']
277,['Paul Whiteman']
278,"['John Raitt', 'Barbara Cook']"
279,['Anita Darian']
280,['The Merrill Staton Choir']
281,"['Jack Dabdoub', 'The Merrill Staton Choir']"
282,"['Show Boat Orchestra (1962)', 'Franz Allers']"
283,['Helen Morgan']
284,"['Barbara Cook', 'The Merrill Staton Choir']"
285,"['Fay De Witt', 'The Merrill Staton Choir']"
286,"['William Warfield', 'The Merrill Staton Choir']"
287,"['Roger Quilter', 'John Heddle Nash']"
288,['John Raitt']
289,"['Robert Schumann', 'Vladimir Horowitz']"
290,"['Francisco Canaro', 'Charlo']"
291,"['Guy Lombardo', 'Louisiana Rhythm Kings']"
292,['Carl Woitschach']
293,['H.P. Lovecraft']
294,['Dj Native-SA']
295,"['Sergei Rachmaninoff', 'Vladimir Horowitz']"
296,['Seweryn Goszczyński']
297,"['Moritz Moszkowski', 'Vladimir Horowitz']"
298,"[""Marcel's""]"
299,['Dj Shungi']
300,['Osman Bey']
301,"['Pietro Mascagni', 'Mitglieder der Staatskapelle Berlin']"
302,['Agustin Magaldi']
303,"['Muzio Clementi', 'Vladimir Horowitz']"
304,"['Samuel Barber', 'Vladimir Horowitz']"
305,"['Alexander Scriabin', 'Vladimir Horowitz']"
306,"['Carl Maria von Weber', 'Berliner Philharmoniker', 'Hans Pfitzner']"
307,['James Piano Bar']
308,['Memphis Minnie & Kansas Joe']
309,"[""Prince Albert Hunt's Texas Ramblers""]"
310,"['Sergei Rachmaninoff', 'Leopold Stokowski']"
311,['Эрих Мария Ремарк']
312,['Eugénie Buffet']
313,"['Richard Strauss', 'Elisabeth Ohms', 'Adele Kern', 'Elfriede Marherr', 'Unknown Orchestra', 'Julius Pruwer']"
314,['K.C.Dey']
315,"['Francisco Canaro', 'Antonio Buglione']"
316,"['Cornélio Pires', 'Pedro Massa']"
317,"['Richard Strauss', 'London Philharmonic Orchestra']"
318,['Carroll Gibbons']
319,['Gaston Gabaroche']
320,['Steve Correll Group']
321,"['Giuseppe Verdi', 'Julius Patzak', 'Unknown Orchestra', 'Manfred Gurlitt']"
322,"['Ludwig van Beethoven', 'Elisabeth Ohms', 'Unknown Orchestra', 'Manfred Gurlitt']"
323,['Mariano e Caçula']
324,"['Teodoro Cottrau', 'Umberto Urbano', 'Unknown Orchestra']"
325,"['Johann Strauss II', 'Margret Pfahl', 'Waldemar Henke', 'Willi Domgraf-Fassbaender', 'Staatskapelle Berlin', 'Hermann Weigert']"
326,"['Johann Strauss II', 'Margret Pfahl', 'Franz Völker', 'Leonard Kern', 'Staatskapelle Berlin', 'Hermann Weigert']"
327,"['Johann Strauss II', 'Else Ruziczka', 'Adele Kern', 'Staatskapelle Berlin', 'Hermann Weigert']"
328,"['Francisco Canaro', 'Ada Falcón']"
329,['Montel']
330,"['Johann Strauss II', 'Margret Pfahl', 'Adele Kern', 'Waldemar Henke', 'Willi Domgraf-Fassbaender', 'Staatskapelle Berlin', 'Hermann Weigert']"
331,['Alessandra De Negri']
332,['Joe Quartz']
333,"['Franz Liszt', 'Vladimir Horowitz']"
334,"['The New Yorkers', 'Wilmouth Houdini', 'Eileen Barton']"
335,"['Roaring Lion', 'Gerald Clark and his Caribbean Serenaders']"
336,['Mississippi Sheiks']
337,['Carlos Gardel']
338,['Jack Payne']
339,['Al Bowlly']
340,['The Growler']
341,['Sam Manning']
342,['Big Bill Broonzy']
343,['The Tiger']
344,"['Jack Teagarden', 'Ben Pollack & His Orchestra']"
345,"['Francisco Alves', 'Mario Reis']"
346,"['Louis Armstrong & His Hot Seven', 'Louis Armstrong']"
347,['Marlene Dietrich']
348,"['George Symonette', 'The Native Bahamian Rhythms']"
349,['Stuff Smith & His Onyx Club Boys']
350,"[""Erskine Hawkins & His 'Bama State Collegians""]"
351,"['Felix Mendelssohn', 'Andrés Segovia']"
352,"['Francisco Tárrega', 'Andrés Segovia']"
353,"['Johann Sebastian Bach', 'Andrés Segovia']"
354,"['Manuel Ponce', 'Andrés Segovia']"
355,['Sofia Vempo']
356,"['Johann Jakob Froberger', 'Andrés Segovia']"
357,"['Federico Moreno Torroba', 'Andrés Segovia']"
358,['Julian Whiterose']
359,['Phil Madison']
360,['Lionel Belasco']
361,['Carlos Galhardo']
362,"['Robert de Visée', 'Andrés Segovia']"
363,"['Isaac Albéniz', 'Andrés Segovia']"
364,"['Louis Armstrong', 'Velma Middleton']"
365,"['Mario Castelnuovo-Tedesco', 'Andrés Segovia']"
366,"['Joaquín Turina', 'Andrés Segovia']"
367,"['Fernando Sor', 'Andrés Segovia']"
368,['John Kirby and His Orchestra']
