,endTime,artistName,trackName,msPlayed,count
1994,2022-04-09 22:10,Free Nationals,Eternal Light,193555,1
1995,2022-04-09 22:20,Bobby Caldwell,Break Away,18643,1
1996,2022-04-09 23:08,Adele,Hometown Glory - High Contrast Remix,349,1
1997,2022-04-09 23:08,Adele,Hometown Glory,151890,1
1998,2022-04-09 23:09,Adele,Hometown Glory - High Contrast Remix,10796,1
1999,2022-04-09 23:09,Adele,Hometown Glory - High Contrast Remix,8033,1
2000,2022-04-09 23:11,Adele,Hometown Glory - High Contrast Remix,1100,1
2001,2022-04-09 23:12,Jessie Ware,Alone - Toddla T Remix,2282,1
2002,2022-04-09 23:12,Adele,My Same,348,1
2003,2022-04-09 23:12,Adele,Hometown Glory - High Contrast Remix,37600,1
2004,2022-04-09 23:12,Daniel Merriweather,Water And A Flame (feat. Adele),6941,1
2005,2022-04-09 23:12,Adele,Chasing Pavements,97,1
2006,2022-04-09 23:12,Adele,Melt My Heart To Stone,594,1
2007,2022-04-09 23:12,Adele,Best For Last,601,1
2008,2022-04-09 23:12,Adele,Cold Shoulder,1343,1
2009,2022-04-09 23:12,Adele,Make You Feel My Love,874,1
2010,2022-04-09 23:12,Adele,Tired,339,1
2011,2022-04-09 23:12,Adele,Right As Rain,86,1
2012,2022-04-09 23:12,Adele,Daydreamer,4126,1
2013,2022-04-09 23:12,Adele,Daydreamer,2282,1
2014,2022-04-09 23:12,Adele,Crazy For You,103,1
2015,2022-04-09 23:12,Adele,First Love,380,1
2016,2022-04-09 23:17,Adele,Hometown Glory,270883,1
2017,2022-04-09 23:21,Adele,Remedy,132293,1
2018,2022-04-09 23:30,James Arthur,Emily,5254,1
2019,2022-04-10 14:05,Adele,Hometown Glory,271226,1
2020,2022-04-10 14:11,Adele,I Drink Wine,376169,1
2021,2022-04-10 14:15,Gabrielle Aplin,Skylight,240449,1
2022,2022-04-10 14:20,Jessie Ware,Say You Love Me,257483,1
2023,2022-04-10 14:24,Joy Crookes,To Lose Someone,250601,1
2024,2022-04-10 14:26,Sadie Jean,WYD Now?,144666,1
2025,2022-04-10 14:30,Adele,Remedy,245426,1
2026,2022-04-10 14:34,Rihanna,Stay - Album Version (Edited),240706,1
2027,2022-04-10 14:38,Alicia Keys,If I Ain't Got You,228706,1
2028,2022-04-10 14:42,Daniel Merriweather,Water And A Flame (feat. Adele),219186,1
2029,2022-04-10 21:02,Sam Smith,Lay Me Down,179439,1
2030,2022-04-12 15:49,The Daily,Biden’s Climate Shift,1264192,1
2031,2022-04-13 15:57,Justin Bieber,Boyfriend - Acoustic Version,187680,1
2032,2022-04-13 19:36,Adele,Hometown Glory,271226,1
2033,2022-04-13 19:37,Adele,I Drink Wine,98850,1
2034,2022-04-13 21:32,Leon Bridges,River,240002,1
2035,2022-04-13 21:35,Leon Bridges,Details,196325,1
2036,2022-04-13 21:39,Matt Corby,Miracle Love,262072,1
2037,2022-04-13 21:39,Lake Street Dive,Better Than,2025,1
2038,2022-04-13 21:43,Leon Bridges,Coming Home,206387,1
2039,2022-04-13 21:43,Leon Bridges,Better Man,14864,1
2040,2022-04-13 21:56,Daniel Caesar,Get You (feat. Kali Uchis),245394,1
2041,2022-04-14 01:19,Adele,I Drink Wine,376169,1
2042,2022-04-14 01:22,Sam Smith,Make It To Me,162732,1
2043,2022-04-14 01:26,Jennifer Hudson,Ain't No Way,256311,1
2044,2022-04-14 01:30,Rihanna,Close To You,223213,1
2045,2022-04-14 01:31,Jessie Ware,Say You Love Me,44683,1
2046,2022-04-14 01:32,Sam Smith,Pray,650,1
2047,2022-04-14 01:32,Adele,Chasing Pavements,90140,1
2048,2022-04-14 01:32,Billie Eilish,Halley's Comet,2690,1
2049,2022-04-14 01:33,Rihanna,Take A Bow,640,1
2050,2022-04-14 01:33,Joy Crookes,Unlearn You,1470,1
2051,2022-04-14 01:36,Adele,Oh My God,225148,1
2052,2022-04-14 01:39,Amy Winehouse,Love Is A Losing Game,155413,1
2053,2022-04-14 01:43,Adele,Rumour Has It,223266,1
