,endTime,artistName,trackName,msPlayed,count,artist_id,genres,artist_popularity,followers,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3182,2022-08-01 01:42,Beyoncé,THIQUE,244553,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,1LCm0lFnEsxR2oPqyHLGX9,0.823,0.536,5.0,-10.123,0.0,0.319,0.0616,0.0143,0.326,0.537,128.955,244792.0,4.0
3183,2022-08-01 01:45,Beyoncé,ALL UP IN YOUR MIND,169602,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,3k4CoiIQXiNBrwrmbBMDxj,0.744,0.577,9.0,-7.228,1.0,0.0631,0.0672,3.06e-06,0.178,0.0805,135.869,169820.0,4.0
3184,2022-08-01 01:49,Beyoncé,AMERICA HAS A PROBLEM,198754,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,2XMAWynSTIst5KmLSv0Npf,0.789,0.614,1.0,-6.491,1.0,0.0579,0.00348,0.00152,0.283,0.108,126.035,198898.0,4.0
3185,2022-08-01 01:53,Beyoncé,PURE/HONEY,288145,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,4DByEumlGTZKSzuVEZ35eo,0.857,0.558,1.0,-7.888,1.0,0.134,0.0122,4.8e-05,0.288,0.453,123.973,288255.0,4.0
3186,2022-08-01 01:58,Beyoncé,SUMMER RENAISSANCE,273840,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,3HyR1j49TY5ACP2lseF1jx,0.674,0.625,1.0,-9.593,1.0,0.0514,0.0843,0.0015,0.11,0.208,120.004,273998.0,4.0
3187,2022-08-01 02:01,Beyoncé,Naughty Girl,207795,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,0YGQ3hZcRLC5YX7o0hdmHg,0.588,0.461,6.0,-8.686,0.0,0.161,0.237,1.54e-05,0.0913,0.659,200.053,208573.0,4.0
3188,2022-08-01 02:08,Justin Timberlake,Until The End Of Time (with Beyoncé),321862,1,31TPClRtHm23RisEBtV3X7,"['dance pop', 'pop']",78.0,12307975.0,2wZTnl0pPFr3HBcyXfOaVJ,0.56,0.372,11.0,-6.58,0.0,0.0446,0.271,0.0,0.195,0.473,119.384,322093.0,4.0
3189,2022-08-01 02:12,Sam Smith,Lay Me Down,219220,1,2wY79sveU1sp5g7SokKOiI,"['dance pop', 'pop', 'uk pop']",87.0,20616977.0,64GRDrL1efgXclrhVCeuA0,0.468,0.19,4.0,-11.138,1.0,0.0373,0.919,0.0,0.107,0.326,125.319,219536.0,4.0
3190,2022-08-01 02:13,Victoria Monét,Big Boss (Interlude),91084,1,63XBtGSEZINSyXylZxEUbv,"['alternative r&b', 'indie r&b', 'pop', 'post-teen pop', 'r&b', 'rap']",61.0,595183.0,7EuktT4CgA637ci366IrYW,0.75,0.289,1.0,-10.912,1.0,0.0512,0.979,0.0638,0.101,0.554,155.974,91249.0,4.0
3191,2022-08-01 02:17,Ne-Yo,Miss Independent,231793,1,21E3waRsmPlU7jZsS13rcj,"['dance pop', 'pop', 'urban contemporary']",76.0,7503295.0,34ceTg8ChN5HjrqiIYCn9Q,0.673,0.683,1.0,-5.693,1.0,0.115,0.522,0.0,0.235,0.713,171.86,232000.0,4.0
3192,2022-08-01 02:20,Beyoncé,Diva,200049,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,5Ssv6DaKrW0HczVqx6zXdl,0.875,0.551,6.0,-6.744,0.0,0.317,0.0488,0.00728,0.0537,0.861,146.092,200613.0,4.0
3193,2022-08-01 02:31,Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),83116,1,181bsRPaVXVlUKXrxwZfHK,"['dance pop', 'houston rap', 'pop', 'rap', 'trap queen']",79.0,7187171.0,5N1o6d8zGcSZSeMFkOUQOk,0.872,0.814,0.0,-4.568,1.0,0.155,0.00485,1.96e-06,0.214,0.57,98.985,199427.0,4.0
3194,2022-08-02 18:46,Lykke Li,Possibility,304733,1,6oBm8HB0yfrIc9IHbxs6in,"['art pop', 'electropop', 'pop', 'swedish electropop', 'swedish indie pop', 'swedish pop']",67.0,1720194.0,39Odj4vLKRarATkCA31gaW,0.285,0.311,0.0,-10.012,1.0,0.032,0.768,0.00183,0.0809,0.0772,117.813,306440.0,4.0
3195,2022-08-03 04:35,Beyoncé,ALIEN SUPERSTAR,215460,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,1Hohk6AufHZOrrhMXZppax,0.545,0.641,10.0,-6.398,0.0,0.0998,0.00453,6.59e-05,0.171,0.464,121.892,215460.0,4.0
3196,2022-08-03 04:39,Beyoncé,XO,215743,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,40xhyfAPDoMtv494MfPevP,0.47,0.793,0.0,-8.929,1.0,0.26,0.164,1.31e-06,0.313,0.216,170.1,215947.0,4.0
3197,2022-08-03 04:42,Rihanna,Love On The Brain,223814,1,5pKCCKE2ajJHZ9KAiaK11H,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",88.0,50774378.0,5oO3drDxtziYU2H1X23ZIp,0.509,0.637,4.0,-4.83,0.0,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,224000.0,3.0
3198,2022-08-03 04:42,Justin Timberlake,Until The End Of Time (with Beyoncé),2417,1,31TPClRtHm23RisEBtV3X7,"['dance pop', 'pop']",78.0,12307975.0,2wZTnl0pPFr3HBcyXfOaVJ,0.56,0.372,11.0,-6.58,0.0,0.0446,0.271,0.0,0.195,0.473,119.384,322093.0,4.0
3199,2022-08-03 04:44,Rihanna,Higher,120001,1,5pKCCKE2ajJHZ9KAiaK11H,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",88.0,50774378.0,1KnJwhZU3DIBe54Q4HPpIl,0.292,0.567,3.0,-4.191,1.0,0.0416,0.112,1.01e-06,0.119,0.392,153.199,120627.0,3.0
3200,2022-08-03 04:48,Rihanna,Needed Me,191414,1,5pKCCKE2ajJHZ9KAiaK11H,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",88.0,50774378.0,4pAl7FkDMNBsjykPXo91B3,0.671,0.314,5.0,-8.091,0.0,0.244,0.11,0.0,0.0825,0.296,110.898,191600.0,4.0
3201,2022-08-03 04:53,Destiny's Child,Dangerously In Love,305807,1,1Y8cdNmUJH7yBTd9yOvr5i,"['dance pop', 'girl group', 'hip pop', 'pop', 'r&b', 'urban contemporary']",69.0,5877360.0,5KlcGBXtj2TptXLe83OXcP,0.419,0.518,3.0,-5.689,0.0,0.167,0.544,0.0,0.445,0.423,98.253,306307.0,4.0
3202,2022-08-03 05:03,Doechii,Persuasive (with SZA),57347,1,4E2rKHVDssGJm2SCDOMMJB,"['alternative r&b', 'escape room', 'pop', 'r&b', 'rap', 'viral rap']",62.0,164897.0,67v2UHujFruxWrDmjPYxD6,0.756,0.554,7.0,-7.166,0.0,0.145,0.211,0.0,0.274,0.563,120.028,210346.0,4.0
3203,2022-08-05 04:32,AC/DC,War Machine,85418,1,711MCceyCBcFnzjGY4Q7Un,"['australian rock', 'hard rock', 'rock']",80.0,24730264.0,5YnNWHKCJaJKwbagXDb5Uf,0.518,0.718,9.0,-4.355,1.0,0.0343,4.85e-05,0.244,0.25,0.531,127.593,189787.0,4.0
3204,2022-08-05 17:12,Beyoncé,ALIEN SUPERSTAR,215460,1,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",86.0,32550401.0,1Hohk6AufHZOrrhMXZppax,0.545,0.641,10.0,-6.398,0.0,0.0998,0.00453,6.59e-05,0.171,0.464,121.892,215460.0,4.0
